Fecha,Nivel Medio
2024-10-13 23:10:00,1.063
2024-10-13 23:09:00,1.06
2024-10-13 23:08:00,1.057
2024-10-13 23:07:00,1.052
2024-10-13 23:06:00,1.052
2024-10-13 23:05:00,1.048
2024-10-13 23:04:00,1.049
2024-10-13 23:03:00,1.042
2024-10-13 23:02:00,1.037
2024-10-13 23:01:00,1.03
2024-10-13 23:00:00,1.025
2024-10-13 22:59:00,1.014
2024-10-13 22:58:00,1.005
2024-10-13 22:57:00,0.994
2024-10-13 22:56:00,0.982
2024-10-13 22:55:00,0.972
2024-10-13 22:54:00,0.958
2024-10-13 22:53:00,0.953
2024-10-13 22:52:00,0.942
2024-10-13 22:51:00,0.932
2024-10-13 22:50:00,0.923
2024-10-13 22:49:00,0.913
2024-10-13 22:48:00,0.903
2024-10-13 22:47:00,0.893
2024-10-13 22:46:00,0.883
2024-10-13 22:45:00,0.875
2024-10-13 22:44:00,0.863
2024-10-13 22:43:00,0.853
2024-10-13 22:42:00,0.836
2024-10-13 22:41:00,0.827
2024-10-13 22:40:00,0.817
2024-10-13 22:39:00,0.812
2024-10-13 22:38:00,0.803
2024-10-13 22:37:00,0.799
2024-10-13 22:36:00,0.796
2024-10-13 22:35:00,0.789
2024-10-13 22:34:00,0.785
2024-10-13 22:33:00,0.779
2024-10-13 22:32:00,0.773
2024-10-13 22:31:00,0.767
2024-10-13 22:30:00,0.765
2024-10-13 22:29:00,0.755
2024-10-13 22:28:00,0.749
2024-10-13 22:27:00,0.74
2024-10-13 22:26:00,0.733
2024-10-13 22:25:00,0.726
2024-10-13 22:24:00,0.719
2024-10-13 22:23:00,0.712
2024-10-13 22:22:00,0.707
2024-10-13 22:21:00,0.698
2024-10-13 22:20:00,0.688
2024-10-13 22:19:00,0.68
2024-10-13 22:18:00,0.674
2024-10-13 22:17:00,0.665
2024-10-13 22:16:00,0.659
2024-10-13 22:15:00,0.645
2024-10-13 22:14:00,0.632
2024-10-13 22:13:00,0.626
2024-10-13 22:12:00,0.612
2024-10-13 22:11:00,0.606
2024-10-13 22:10:00,0.6
2024-10-13 22:09:00,0.592
2024-10-13 22:08:00,0.586
2024-10-13 22:07:00,0.576
2024-10-13 22:06:00,0.567
2024-10-13 22:05:00,0.561
2024-10-13 22:04:00,0.551
2024-10-13 22:03:00,0.546
2024-10-13 22:02:00,0.535
2024-10-13 22:01:00,0.525
2024-10-13 22:00:00,0.511
2024-10-13 21:59:00,0.501
2024-10-13 21:58:00,0.488
2024-10-13 21:57:00,0.479
2024-10-13 21:56:00,0.468
2024-10-13 21:55:00,0.463
2024-10-13 21:54:00,0.452
2024-10-13 21:53:00,0.443
2024-10-13 21:52:00,0.434
2024-10-13 21:51:00,0.424
2024-10-13 21:50:00,0.414
2024-10-13 21:49:00,0.406
2024-10-13 21:48:00,0.395
2024-10-13 21:47:00,0.382
2024-10-13 21:46:00,0.37
2024-10-13 21:45:00,0.358
2024-10-13 21:44:00,0.349
2024-10-13 21:43:00,0.34
2024-10-13 21:42:00,0.333
2024-10-13 21:41:00,0.322
2024-10-13 21:40:00,0.312
2024-10-13 21:39:00,0.303
2024-10-13 21:38:00,0.295
2024-10-13 21:37:00,0.284
2024-10-13 21:36:00,0.277
2024-10-13 21:35:00,0.268
2024-10-13 21:34:00,0.26
2024-10-13 21:33:00,0.251
2024-10-13 21:32:00,0.244
2024-10-13 21:31:00,0.236
2024-10-13 21:30:00,0.228
2024-10-13 21:29:00,0.221
2024-10-13 21:28:00,0.219
2024-10-13 21:27:00,0.211
2024-10-13 21:26:00,0.206
2024-10-13 21:25:00,0.192
2024-10-13 21:24:00,0.18
2024-10-13 21:23:00,0.169
2024-10-13 21:22:00,0.162
2024-10-13 21:21:00,0.151
2024-10-13 21:20:00,0.142
2024-10-13 21:19:00,0.131
2024-10-13 21:18:00,0.121
2024-10-13 21:17:00,0.109
2024-10-13 21:16:00,0.097
2024-10-13 21:15:00,0.089
2024-10-13 21:14:00,0.079
2024-10-13 21:13:00,0.07
2024-10-13 21:12:00,0.061
2024-10-13 21:11:00,0.049
2024-10-13 21:10:00,0.035
2024-10-13 21:09:00,0.023
2024-10-13 21:08:00,0.01
2024-10-13 21:07:00,0.001
2024-10-13 21:06:00,-0.006
2024-10-13 21:05:00,-0.019
2024-10-13 21:04:00,-0.031
2024-10-13 21:03:00,-0.038
2024-10-13 21:02:00,-0.051
2024-10-13 21:01:00,-0.055
2024-10-13 21:00:00,-0.06
2024-10-13 20:59:00,-0.066
2024-10-13 20:58:00,-0.07
2024-10-13 20:57:00,-0.078
2024-10-13 20:56:00,-0.086
2024-10-13 20:55:00,-0.092
2024-10-13 20:54:00,-0.1
2024-10-13 20:53:00,-0.109
2024-10-13 20:52:00,-0.117
2024-10-13 20:51:00,-0.127
2024-10-13 20:50:00,-0.138
2024-10-13 20:49:00,-0.152
2024-10-13 20:48:00,-0.164
2024-10-13 20:47:00,-0.173
2024-10-13 20:46:00,-0.178
2024-10-13 20:45:00,-0.185
2024-10-13 20:44:00,-0.19
2024-10-13 20:43:00,-0.199
2024-10-13 20:42:00,-0.209
2024-10-13 20:41:00,-0.222
2024-10-13 20:40:00,-0.23
2024-10-13 20:39:00,-0.239
2024-10-13 20:38:00,-0.246
2024-10-13 20:37:00,-0.257
2024-10-13 20:36:00,-0.269
2024-10-13 20:35:00,-0.281
2024-10-13 20:34:00,-0.292
2024-10-13 20:33:00,-0.303
2024-10-13 20:32:00,-0.308
2024-10-13 20:31:00,-0.319
2024-10-13 20:30:00,-0.328
2024-10-13 20:29:00,-0.334
2024-10-13 20:28:00,-0.343
2024-10-13 20:27:00,-0.351
2024-10-13 20:26:00,-0.361
2024-10-13 20:25:00,-0.367
2024-10-13 20:24:00,-0.376
2024-10-13 20:23:00,-0.382
2024-10-13 20:22:00,-0.389
2024-10-13 20:21:00,-0.398
2024-10-13 20:20:00,-0.408
2024-10-13 20:19:00,-0.417
2024-10-13 20:18:00,-0.426
2024-10-13 20:17:00,-0.431
2024-10-13 20:16:00,-0.439
2024-10-13 20:15:00,-0.444
2024-10-13 20:14:00,-0.455
2024-10-13 20:13:00,-0.468
2024-10-13 20:12:00,-0.478
2024-10-13 20:11:00,-0.488
2024-10-13 20:10:00,-0.494
2024-10-13 20:09:00,-0.502
2024-10-13 20:08:00,-0.508
2024-10-13 20:07:00,-0.517
2024-10-13 20:06:00,-0.525
2024-10-13 20:05:00,-0.532
2024-10-13 20:04:00,-0.538
2024-10-13 20:03:00,-0.541
2024-10-13 20:02:00,-0.543
2024-10-13 20:01:00,-0.547
2024-10-13 20:00:00,-0.554
2024-10-13 19:59:00,-0.561
2024-10-13 19:58:00,-0.567
2024-10-13 19:57:00,-0.569
2024-10-13 19:56:00,-0.574
2024-10-13 19:55:00,-0.575
2024-10-13 19:54:00,-0.579
2024-10-13 19:53:00,-0.585
2024-10-13 19:52:00,-0.593
2024-10-13 19:51:00,-0.595
2024-10-13 19:50:00,-0.6
2024-10-13 19:49:00,-0.606
2024-10-13 19:48:00,-0.611
2024-10-13 19:47:00,-0.615
2024-10-13 19:46:00,-0.625
2024-10-13 19:45:00,-0.633
2024-10-13 19:44:00,-0.642
2024-10-13 19:43:00,-0.648
2024-10-13 19:42:00,-0.655
2024-10-13 19:41:00,-0.665
2024-10-13 19:40:00,-0.673
2024-10-13 19:39:00,-0.681
2024-10-13 19:38:00,-0.695
2024-10-13 19:37:00,-0.704
2024-10-13 19:36:00,-0.708
2024-10-13 19:35:00,-0.715
2024-10-13 19:34:00,-0.721
2024-10-13 19:33:00,-0.728
2024-10-13 19:32:00,-0.735
2024-10-13 19:31:00,-0.744
2024-10-13 19:30:00,-0.749
2024-10-13 19:29:00,-0.753
2024-10-13 19:28:00,-0.754
2024-10-13 19:27:00,-0.764
2024-10-13 19:26:00,-0.771
2024-10-13 19:25:00,-0.779
2024-10-13 19:24:00,-0.785
2024-10-13 19:23:00,-0.784
2024-10-13 19:22:00,-0.783
2024-10-13 19:21:00,-0.784
2024-10-13 19:20:00,-0.782
2024-10-13 19:19:00,-0.784
2024-10-13 19:18:00,-0.784
2024-10-13 19:17:00,-0.785
2024-10-13 19:16:00,-0.786
2024-10-13 19:15:00,-0.788
2024-10-13 19:14:00,-0.792
2024-10-13 19:13:00,-0.799
2024-10-13 19:12:00,-0.803
2024-10-13 19:11:00,-0.813
2024-10-13 19:10:00,-0.821
2024-10-13 19:09:00,-0.825
2024-10-13 19:08:00,-0.828
2024-10-13 19:07:00,-0.832
2024-10-13 19:06:00,-0.83
2024-10-13 19:05:00,-0.831
2024-10-13 19:04:00,-0.838
2024-10-13 19:03:00,-0.84
2024-10-13 19:02:00,-0.847
2024-10-13 19:01:00,-0.853
2024-10-13 19:00:00,-0.856
2024-10-13 18:59:00,-0.86
2024-10-13 18:58:00,-0.867
2024-10-13 18:57:00,-0.873
2024-10-13 18:56:00,-0.879
2024-10-13 18:55:00,-0.889
2024-10-13 18:54:00,-0.889
2024-10-13 18:53:00,-0.892
2024-10-13 18:52:00,-0.891
2024-10-13 18:51:00,-0.893
2024-10-13 18:50:00,-0.895
2024-10-13 18:49:00,-0.896
2024-10-13 18:48:00,-0.898
2024-10-13 18:47:00,-0.902
2024-10-13 18:46:00,-0.9
2024-10-13 18:45:00,-0.904
2024-10-13 18:44:00,-0.906
2024-10-13 18:43:00,-0.907
2024-10-13 18:42:00,-0.912
2024-10-13 18:41:00,-0.913
2024-10-13 18:40:00,-0.913
2024-10-13 18:39:00,-0.914
2024-10-13 18:38:00,-0.914
2024-10-13 18:37:00,-0.914
2024-10-13 18:36:00,-0.918
2024-10-13 18:35:00,-0.921
2024-10-13 18:34:00,-0.92
2024-10-13 18:33:00,-0.921
2024-10-13 18:32:00,-0.92
2024-10-13 18:31:00,-0.922
2024-10-13 18:30:00,-0.925
2024-10-13 18:29:00,-0.931
2024-10-13 18:28:00,-0.931
2024-10-13 18:27:00,-0.932
2024-10-13 18:26:00,-0.932
2024-10-13 18:25:00,-0.932
2024-10-13 18:24:00,-0.928
2024-10-13 18:23:00,-0.926
2024-10-13 18:22:00,-0.927
2024-10-13 18:21:00,-0.925
2024-10-13 18:20:00,-0.925
2024-10-13 18:19:00,-0.926
2024-10-13 18:18:00,-0.926
2024-10-13 18:17:00,-0.925
2024-10-13 18:16:00,-0.928
