Fuente,BIAS,MSE,RMSE,NSE
processed\armada_datos_2024-10-10_16-17.csv,0.12519969834234065,0.017063819323492775,0.1306285547783974,0.9348789002577432
processed\copernicus_datos_2024-10-10_16-01.csv,0.10940897571779551,0.017123886137302157,0.13085826736321307,0.9346496657060216
processed\puertos_estado_datos_2024-10-10_16-01.csv,0.12372222562410917,0.017241729840795063,0.13130776763312618,0.9341999356998797
processed\shom_datos_2024-10-10_16-00.csv,0.10036472891718473,0.016219745412091487,0.12735676429656764,0.9381001615903996
