Fecha,Nivel,Marea,Residuo,Presion
2024-10-10 00:00:00,-0.31899999999999995,1.75,0.29,1007.0
2024-10-10 00:10:00,-0.36126433756319914,1.7096352163431197,0.28809993140212925,1006.7920295706348
2024-10-10 00:20:00,-0.3979501475666736,1.6747219308425176,0.28632717294855164,1006.6873965471859
2024-10-10 00:30:00,-0.4290620244112569,1.6452809549780492,0.28465626261040855,1006.6709890040257
2024-10-10 00:40:00,-0.4546045624977832,1.6213331002295697,0.28306173835884135,1006.7276950155265
2024-10-10 00:50:00,-0.4745823562270863,1.6028991780769348,0.2815181381649914,1006.8424026560606
2024-10-10 01:00:00,-0.4889999999999999,1.59,0.28,1007.0
2024-10-10 01:10:00,-0.497862088217358,1.5826563774786209,0.27848186183500867,1007.1853751217174
2024-10-10 01:20:00,-0.5011732152799944,1.5808891219926526,0.2769382616411587,1007.3834160955846
2024-10-10 01:30:00,-0.4989379755887429,1.5847190450219508,0.27534373738959145,1007.5790109959743
2024-10-10 01:40:00,-0.49116096354443745,1.5941669580463713,0.27367282705144835,1007.7570478972584
2024-10-10 01:50:00,-0.4778467735479119,1.6092536725457691,0.27190006859787075,1007.9024148738097
2024-10-10 02:00:00,-0.4590000000000001,1.63,0.27,1008.0
2024-10-10 02:10:00,-0.4346669391969982,1.6563596441127675,0.2679726212578361,1008.0405440165702
2024-10-10 02:20:00,-0.40506069501705255,1.6880178774831682,0.26591978048681364,1008.0381983297349
2024-10-10 02:30:00,-0.37043607323377137,1.724592864934147,0.2639687878312257,1008.0129670120772
2024-10-10 02:40:00,-0.3310478796207632,1.7657027712886488,0.2622469534353653,1007.98485413618
2024-10-10 02:50:00,-0.2871509199516365,1.8109657613696184,0.2608815874435257,1007.9738637746266
2024-10-10 03:00:00,-0.23899999999999988,1.86,0.26,1008.0
2024-10-10 03:10:00,-0.18691459943909342,1.9124143053295686,0.25967394942994315,1008.0783747379278
2024-10-10 03:20:00,-0.1314728935406844,1.9677801088154154,0.25975298678195724,1008.2045313262165
2024-10-10 03:30:00,-0.0733177314761716,2.025659495241461,0.26003111128550604,1008.369120955717
2024-10-10 03:40:00,-0.01309196241695398,2.0856145493916265,0.2603023221700535,1008.5627948172803
2024-10-10 03:50:00,0.0485615644655696,2.1472073560498326,0.2603606186650636,1008.7762041017577
2024-10-10 04:00:00,0.11100000000000021,2.21,0.26,1009.0
2024-10-10 04:10:00,0.17364941102744685,2.2735664679022913,0.25907232176313205,1009.2246607354223
2024-10-10 04:20:00,0.23621152843905016,2.337528353921837,0.25766086497795015,1009.4399726616955
2024-10-10 04:30:00,0.29845699913845863,2.4015191541000087,0.2559067670267502,1009.6355491650548
2024-10-10 04:40:00,0.3601564700293207,2.4651723644781787,0.253951165291828,1009.8010036317355
2024-10-10 04:50:00,0.421080588015285,2.528121481097718,0.2519351971554793,1009.925949447972
2024-10-10 05:00:00,0.48099999999999987,2.59,0.25,1010.0
2024-10-10 05:10:00,0.5396595479218993,2.6504494526908946,0.2482497264804917,1010.0183526907535
2024-10-10 05:20:00,0.5967008538585582,2.709143512534273,0.2466405903432792,1009.9985409899645
2024-10-10 05:30:00,0.6517397349223374,2.765763888358503,0.24509182060749315,1009.9636823840634
2024-10-10 05:40:00,0.704392008225597,2.8199922889919544,0.2435226462922642,1009.9368943594817
2024-10-10 05:50:00,0.7542734908806978,2.871510423262997,0.24185229641672296,1009.9412944026503
2024-10-10 06:00:00,0.8010000000000002,2.92,0.24,1010.0
2024-10-10 06:10:00,0.8442216565442153,2.965144980593388,0.2379287723149012,1010.1278544274894
2024-10-10 06:20:00,0.8837257968674577,3.0066383366818124,0.23577677364893299,1010.3066041191876
2024-10-10 06:30:00,0.9193340611721922,3.0441752924659786,0.23372595054327713,1010.5097212986911
2024-10-10 06:40:00,0.950868089660884,3.077451072146595,0.23195824953911523,1010.7106781895967
2024-10-10 06:50:00,0.9781495225359983,3.106160899924366,0.23065561717762895,1010.8829470155008
2024-10-10 07:00:00,1.001,3.13,0.23,1011.0
2024-10-10 07:10:00,1.0192686407160547,3.148739143454071,0.23008148055619984,1011.0443036733628
2024-10-10 07:20:00,1.0329144771901297,3.162451288886626,0.23062268543135916,1011.0343017925443
2024-10-10 07:30:00,1.0419240203888942,3.1712849417775804,0.23125437721939834,1010.9974324211719
2024-10-10 07:40:00,1.0462837812790151,3.175388607606851,0.2316073185142379,1010.9611336228722
2024-10-10 07:50:00,1.045980270827161,3.1749107918543524,0.23131227190979833,1010.9528434612726
2024-10-10 08:00:00,1.041,3.17,0.23,1011.0
2024-10-10 08:10:00,1.0313241509619362,3.1607780752199583,0.22743974990474386,1011.1208568049855
2024-10-10 08:20:00,1.016912590668318,3.1472602114753876,0.22395470684785268,1011.2969294513757
2024-10-10 08:30:00,0.9977198572722307,3.1294349404236974,0.22000654057912952,1011.5005490166216
2024-10-10 08:40:00,0.9737004889267588,3.1072907937222967,0.21605692084837758,1011.7040465781737
2024-10-10 08:50:00,0.9448090237849869,3.080816303028594,0.21256751740539997,1011.8797532134829
2024-10-10 09:00:00,0.911,3.05,0.21,1012.0
2024-10-10 09:10:00,0.8723143850658304,3.014861518629058,0.20867803834334317,1012.0463431807697
2024-10-10 09:20:00,0.8291388638403011,2.9755449022488603,0.208373301992045,1012.0372396612122
2024-10-10 09:30:00,0.7819465505221826,2.932225296527629,0.20871946046408366,1012.0003715123421
2024-10-10 09:40:00,0.731210559310246,2.8850778471335916,0.20935018327743699,1011.9634208051739
