Fecha,Marea,Nivel
2024-10-10 00:00:00,0.125,-0.23
2024-10-10 00:10:00,0.11942283882820331,-0.2727134633585739
2024-10-10 00:20:00,0.11516049284102299,-0.3128357446831781
2024-10-10 00:30:00,0.11204999900153578,-0.3499961914917179
2024-10-10 00:40:00,0.10992839427281839,-0.38382415130209807
2024-10-10 00:50:00,0.10863271561794756,-0.4139489716322237
2024-10-10 01:00:00,0.108,-0.43999999999999995
2024-10-10 01:10:00,0.10786728438205244,-0.4616065839233317
2024-10-10 01:20:00,0.10807160572718161,-0.4783980709201241
2024-10-10 01:30:00,0.10845000099846422,-0.490003808508282
2024-10-10 01:40:00,0.108839507158977,-0.49605314420571067
2024-10-10 01:50:00,0.10907716117179668,-0.4961754255303149
2024-10-10 02:00:00,0.109,-0.49
2024-10-10 02:10:00,0.10849228290284618,-0.47729538613328426
2024-10-10 02:20:00,0.10762715832432466,-0.4583867864511402
2024-10-10 02:30:00,0.10652499700460735,-0.4337385744751538
2024-10-10 02:40:00,0.10530616968386619,-0.4038151237269111
2024-10-10 02:50:00,0.10409104710227308,-0.3690808077279978
2024-10-10 03:00:00,0.103,-0.32999999999999996
2024-10-10 03:10:00,0.1021219173398961,-0.2869896493213089
2024-10-10 03:20:00,0.10141976097551973,-0.24027700549753708
2024-10-10 03:30:00,0.10082501098310637,-0.19004189359110246
2024-10-10 03:40:00,0.10026914743889159,-0.13646413866442283
2024-10-10 03:50:00,0.09968365041911095,-0.07972356577991607
2024-10-10 04:00:00,0.099,-0.020000000000000018
2024-10-10 04:10:00,0.09816819588571747,0.042429909344445876
2024-10-10 04:20:00,0.09721231629211495,0.10690221584869614
2024-10-10 04:30:00,0.09617495906296716,0.17265614883956373
2024-10-10 04:40:00,0.0950987220420489,0.23893093764386159
2024-10-10 04:50:00,0.09402620307313492,0.3049658115884027
2024-10-10 05:00:00,0.093,0.37
2024-10-10 05:10:00,0.09205715096908584,0.43338112305463644
2024-10-10 05:20:00,0.09121245533750201,0.49489036432497474
2024-10-10 05:30:00,0.09047515276502499,0.5544172982328475
2024-10-10 05:40:00,0.08985448291143132,0.6118514992000874
2024-10-10 05:50:00,0.08935968543649749,0.6670825416485274
2024-10-10 06:00:00,0.089,0.72
2024-10-10 06:10:00,0.08876986690460581,0.7704344873258973
2024-10-10 06:20:00,0.08860452902454367,0.8179807712958493
2024-10-10 06:30:00,0.08842442987693282,0.8621746582290462
2024-10-10 06:40:00,0.08815001297889245,0.902551954444677
2024-10-10 06:50:00,0.08770172184754177,0.9386484662619318
2024-10-10 07:00:00,0.087,0.97
2024-10-10 07:10:00,0.0859883814124909,0.9962235202343671
2024-10-10 07:20:00,0.08470276189765659,1.0172606245657017
2024-10-10 07:30:00,0.0832021277272437,1.0331340688509678
2024-10-10 07:40:00,0.08154546517299886,1.0438666089471302
2024-10-10 07:50:00,0.07979176050666875,1.0494810007111528
2024-10-10 08:00:00,0.078,1.05
2024-10-10 08:10:00,0.07623031114913423,1.0454584687736712
2024-10-10 08:20:00,0.07454738634779288,1.0359396934043068
2024-10-10 08:30:00,0.07301705921409239,1.021539066367082
2024-10-10 08:40:00,0.07170516336614914,1.0023519801371723
2024-10-10 08:50:00,0.07067753242207953,0.9784738271897533
2024-10-10 09:00:00,0.07,0.9500000000000001
2024-10-10 09:10:00,0.06969222584282402,0.9170351972635407
2024-10-10 09:20:00,0.06958917419265333,0.8797213425578122
2024-10-10 09:30:00,0.06947963541638674,0.8382096656807042
2024-10-10 09:40:00,0.06915239988092314,0.7926513964301066
2024-10-10 09:50:00,0.06839625795316127,0.7431977646039086
2024-10-10 10:00:00,0.067,0.6900000000000001
2024-10-10 10:10:00,0.06485263733142158,0.6332988903203147
2024-10-10 10:20:00,0.06224406502974198,0.5736934548829634
2024-10-10 10:30:00,0.0595643991203606,0.5118722709101011
2024-10-10 10:40:00,0.057203755628676876,0.44852391562388316
2024-10-10 10:50:00,0.055552250580090196,0.38433696624646446
2024-10-10 11:00:00,0.055,0.32
2024-10-10 11:10:00,0.05579074335000821,0.25611183404779336
2024-10-10 11:20:00,0.057582713836526946,0.1929122453177417
2024-10-10 11:30:00,0.05988776810217084,0.1305512506788909
2024-10-10 11:40:00,0.062217762789554557,0.0691788670002865
2024-10-10 11:50:00,0.06408455454129273,0.008945111150974338
2024-10-10 12:00:00,0.065,-0.05000000000000002
2024-10-10 12:10:00,0.06462327815743446,-0.10746844873371018
2024-10-10 12:20:00,0.06320285740192803,-0.16312021393170795
2024-10-10 12:30:00,0.06113452847095602,-0.2165772736256646
2024-10-10 12:40:00,0.05881408210199378,-0.26746160584725126
2024-10-10 12:50:00,0.05663730903251667,-0.31539518862813937
2024-10-10 13:00:00,0.055,-0.36
2024-10-10 13:10:00,0.05419299587210576,-0.40091396503887855
2024-10-10 13:20:00,0.05408733803724241,-0.43783879699831735
2024-10-10 13:30:00,0.054449118014005066,-0.47049215617623247
2024-10-10 13:40:00,0.05504442732098882,-0.4985917028705404
2024-10-10 13:50:00,0.05563935747678876,-0.5218550973791575
2024-10-10 14:00:00,0.056,-0.5399999999999999
2024-10-10 14:10:00,0.055951960576364715,-0.5528108762959605
2024-10-10 14:20:00,0.05555890156021342,-0.5603394128898375
2024-10-10 14:30:00,0.05494399947302371,-0.5627041016694052
2024-10-10 14:40:00,0.05423043083627317,-0.5600234345224385
2024-10-10 14:50:00,0.05354137217143941,-0.552415903336712
2024-10-10 15:00:00,0.053,-0.5399999999999999
2024-10-10 15:10:00,0.052698235896509446,-0.5228888260735753
